# modulo,caso,precondicion,pasos,resultado_esperado
login,login_ok,usuario y pass validos,"enviar POST /login","exito=true, cookies emitidas"
login,login_error,usuario o pass invalidos,"enviar POST /login","exito=false, auditoria ERROR"
tickets,crear_ok,campos validos,"POST /tickets","ok=true, auditoria Crear"
tickets,actualizar_ok,folio existente,"POST /tickets/actualizar","ok=true, auditoria Actualizar"
tickets,eliminar_ok,folio existente,"POST /tickets/eliminar","ok=true, auditoria Eliminar"
avisos,crear_ok,asunto/mensaje validos,"POST /avisos","201 y auditoria Crear"
sesion,expira_inactivo,esperar 31 min sin actividad,"cualquier POST","401/403 segun caso"
documentos,subida_ok,archivo permitido y <=10MB,"POST /api/documentos (multipart)","ok=true, version=1, auditoria DOC_UPLOAD"
documentos,subida_mime_invalido,archivo .exe,"POST /api/documentos","415 (mime_not_allowed)"
documentos,duplicado_por_hash,mismo archivo que versión vigente,"PUT /api/documentos/{id} con file","409 (duplicate_version)"
documentos,lista_filtro,con docs en categoría X,"GET /api/documentos?categoria=X","ok=true, items solo de X"
documentos,permiso_operador,Ingresar como Operador,"POST /api/documentos","403 (RequireRoles)"
documentos,descarga_ok,doc activo,"GET /api/documentos/{id}/descargar","200 con cabecera Content-Disposition"
